,Jm1,Jm2,T,Tx,Ty,Tz,h,ju1,ju2,layer,n,p,px,py,pz,up,x*,x1
11,,,,,,,,,,1.2000E+01 1.3530E+01 2.9387E-02 6.7208E-02 1.9595E-02 1.5746E-02 2.7458E-02 1.5295E-02 3.0777E-02 2.2558E-02 2.2826E-02 4.1521E-02 3.2645E-02 3.8786E-02 3.2450E-02 2.0633E-02 3.5820E-02 3.3828E-02 3.8816E-02 5.2422E-02 5.0362E-02 3.8768E-02,,,,,,,,
12,,,,,,,,,,1.3000E+01 1.4700E+01 6.8855E-02 6.0698E-02 3.3859E-02 6.9704E-03 1.5696E-02 2.1635E-02 2.5209E-02 2.4855E-02 2.5937E-02 4.1111E-02 3.8018E-02 4.7535E-02 2.9637E-02 3.2946E-02 3.5841E-02 4.7178E-02 4.0642E-02 1.9137E-02 2.1728E-02 2.2411E-02,,,,,,,,
13,,,,,,,,,,1.4000E+01 1.5880E+01 3.2674E-02 7.5846E-02 4.2439E-02 1.7358E-02 1.8444E-02 1.3149E-02 2.0680E-02 2.4597E-02 2.6137E-02 1.0547E-02 2.2644E-02 2.3659E-02 3.1148E-02 3.4175E-02 3.5261E-02 1.9899E-02 3.2060E-02 3.1685E-02 4.3035E-02 3.1309E-02,,,,,,,,
14,,,,,,,,,,1.5000E+01 1.7060E+01 7.7805E-02 6.9137E-02 5.0809E-02 2.5213E-02 1.6685E-02 2.5449E-02 1.7816E-02 2.7889E-02 3.6487E-02 2.2738E-02 2.1886E-02 1.4849E-02 2.4667E-02 2.7163E-02 1.7854E-02 2.2301E-02 3.1686E-02 4.1105E-02 4.5802E-02 2.6712E-02,,,,,,,,
15,,,,,,,,,,1.6000E+01 1.8230E+01 4.7816E-02 6.7195E-02 5.8863E-02 2.8680E-02 2.4850E-02 1.7415E-02 2.5614E-02 2.9187E-02 2.8792E-02 2.7779E-02 1.1846E-02 4.3141E-02 2.8922E-02 4.5227E-02 4.4887E-02 6.0648E-02 5.4432E-02 5.5205E-02 5.1810E-02 2.9576E-02,,,,,,,,
16,,,,,,,,,,1.7000E+01 1.9410E+01 6.2507E-02 4.1568E-02 7.7975E-02 6.4297E-02 1.4793E-02 1.5441E-02 2.5411E-02 2.0321E-02 2.8452E-02 2.5957E-02 3.3092E-02 1.8490E-02 3.5703E-02 2.6717E-02 2.0490E-02 4.1023E-02 4.7044E-02 4.8106E-02 3.8236E-02 3.3800E-02,,,,,,,,
17,,,,,,,,,,1.8000E+01 2.0590E+01 8.4511E-02 7.6001E-02 7.6843E-02 6.0853E-02 3.7130E-02 1.9820E-02 2.0990E-02 3.0116E-02 2.0273E-02 2.3773E-02 2.0360E-02 2.4216E-02 2.1443E-02 2.2160E-02 3.0841E-02 2.4140E-02 3.4759E-02 4.5441E-02 5.5449E-02 2.8609E-02,,,,,,,,
18,,,,,,,,,,1.9000E+01 2.1760E+01 5.5422E-02 5.4202E-02 4.7470E-02 8.2929E-02 4.6179E-02 2.3115E-02 2.6282E-02 3.7477E-02 3.8357E-02 2.1025E-02 2.7964E-02 1.5879E-02 3.0237E-02 3.7309E-02 4.8182E-02 4.4470E-02 1.6288E-02 4.4106E-02 3.8299E-02 3.1176E-02,,,,,,,,
19,,,,,,,,,,2.0000E+01 2.2940E+01 4.8304E-02 2.6187E-02 4.2059E-02 5.2857E-02 6.3797E-02 1.8136E-02 2.3157E-02 3.9179E-02 3.3639E-02 1.8837E-02 3.0423E-02 1.8024E-02 3.6167E-02 4.4248E-02 3.7092E-02 4.7992E-02 4.1313E-02 5.2938E-02 6.1210E-02 4.9259E-02,,,,,,,,
20,,,,,,,,,,2.1000E+01 2.4110E+01 6.5535E-02 8.6343E-02 5.8079E-02 9.7395E-02 6.9707E-02 3.0758E-02 1.5601E-02 9.2157E-03 2.3236E-02 3.2776E-02 4.0221E-02 4.4991E-02 2.7467E-02 3.5887E-02 3.4293E-02 5.1821E-02 4.7454E-02 4.0254E-02 2.5223E-02 3.0764E-02,,,,,,,,
21,,,,,,,,,,2.2000E+01 2.5290E+01 5.2959E-02 6.7255E-02 9.4944E-02 9.6667E-02 7.3001E-02 4.3257E-02 2.2038E-02 2.2375E-02 2.5498E-02 2.3021E-02 2.9777E-02 2.9787E-02 2.9060E-02 3.1035E-02 3.0803E-02 4.4954E-02 5.1591E-02 2.1884E-02 2.1681E-02 2.9373E-02,,,,,,,,
22,,,,,,,,,,2.3000E+01 2.6470E+01 8.8679E-02 9.0348E-02 6.3771E-02 2.5554E-02 6.5382E-02 5.4675E-02 2.2571E-02 2.1931E-02 2.1418E-02 1.3804E-02 2.5966E-02 2.0582E-02 1.9696E-02 4.1641E-02 3.8997E-02 3.2999E-02 4.7738E-02 4.4042E-02 4.0821E-02 5.1225E-02,,,,,,,,
23,,,,,,,,,,2.4000E+01 2.7640E+01 7.3464E-02 6.1795E-02 5.7582E-02 4.1324E-02 5.4720E-02 5.4439E-02 3.8182E-02 2.5081E-02 2.4650E-02 2.7163E-02 2.2752E-02 1.1822E-02 3.9117E-02 3.0504E-02 4.9159E-02 2.3715E-02 4.3687E-02 4.8394E-02 3.0166E-02 5.8235E-02,,,,,,,,
24,,,,,,,,,,2.5000E+01 2.8820E+01 5.4056E-02 6.4141E-02 4.7855E-02 5.6436E-02 7.2393E-02 7.4228E-02 3.6970E-02 2.3735E-02 2.8435E-02 4.1254E-02 1.9310E-02 2.4907E-02 4.8565E-02 3.9270E-02 4.1208E-02 5.2211E-02 4.8841E-02 2.6393E-02 3.1126E-02 3.9693E-02,,,,,,,,
25,,,,,,,,,,2.6000E+01 3.0000E+01 4.4216E-02 5.5755E-02 4.1709E-02 6.0455E-02 5.3897E-02 8.7278E-02 7.0832E-02 2.9451E-02 3.2183E-02 3.3089E-02 2.7560E-02 4.7787E-02 3.4498E-02 4.5552E-02 3.5639E-02 4.4988E-02 6.0663E-02 4.8132E-02 4.3980E-02 5.4431E-02,,,,,,,,
26,,,,,,,,,,2.7000E+01 3.1170E+01 4.7421E-02 7.9463E-02 6.6125E-02 7.1339E-02 7.8643E-02 6.6398E-02 6.8549E-02 3.8005E-02 3.2218E-02 2.7160E-02 1.7166E-02 2.8684E-02 4.9084E-02 3.5073E-02 5.2908E-02 5.9208E-02 4.3009E-02 4.5428E-02 5.1584E-02 5.0402E-02,,,,,,,,
27,,,,,,,,,,2.8000E+01 3.2350E+01 3.6829E-02 6.0022E-02 9.2186E-02 7.4432E-02 5.0136E-02 5.2187E-02 6.8657E-02 4.9132E-02 2.0237E-02 1.5403E-02 1.9531E-02 2.3798E-02 1.7618E-02 3.5165E-02 2.7781E-02 2.8851E-02 3.0740E-02 4.1960E-02 5.1657E-02 3.9673E-02,,,,,,,,
28,,,,,,,,,,2.9000E+01 3.3520E+01 5.6074E-02 8.6630E-02 4.7248E-02 5.5394E-02 6.5891E-02 8.2631E-02 8.7640E-02 5.4913E-02 3.9064E-02 1.9302E-02 1.9458E-02 1.7534E-02 2.7155E-02 4.0205E-02 3.3996E-02 2.8595E-02 6.3447E-02 4.8233E-02 4.1843E-02 3.8081E-02,,,,,,,,
29,,,,,,,,,,3.0000E+01 3.4700E+01 6.5499E-02 5.2963E-02 4.1346E-02 9.3224E-02 7.0866E-02 7.0221E-02 8.1658E-02 7.9716E-02 3.0075E-02 1.8140E-02 1.1084E-02 2.0503E-02 3.0369E-02 3.7934E-02 3.1584E-02 2.8095E-02 2.1575E-02 5.5311E-02 3.5245E-02 2.9552E-02,,,,,,,,
30,,,,,,,,,,3.1000E+01 3.5880E+01 5.7048E-02 8.1252E-02 6.7035E-02 5.7170E-02 6.1723E-02 5.3245E-02 7.8737E-02 8.2727E-02 3.1278E-02 2.5033E-02 2.1761E-02 2.8574E-02 2.1940E-02 2.6453E-02 3.1214E-02 2.8832E-02 2.3711E-02 2.3545E-02 2.7942E-02 3.4151E-02,,,,,,,,
31,,,,,,,,,,3.2000E+01 3.7050E+01 6.0436E-02 6.2686E-02 6.1334E-02 7.1375E-02 7.7160E-02 5.4951E-02 9.2566E-02 6.7283E-02 6.5720E-02 2.9441E-02 2.3370E-02 3.1734E-02 2.5732E-02 3.6994E-02 5.0772E-02 3.7723E-02 3.7923E-02 3.3534E-02 4.5826E-02 2.9688E-02,,,,,,,,
32,,,,,,,,,,3.3000E+01 3.8230E+01 9.2573E-02 7.1429E-02 8.9948E-02 7.1494E-02 6.0874E-02 8.8198E-02 1.0462E-01 7.8220E-02 9.3516E-02 2.5803E-02 8.5042E-03 1.3404E-02 2.2523E-02 3.8725E-02 2.7574E-02 2.4606E-02 3.3908E-02 1.9790E-02 2.6846E-02 4.2939E-02,,,,,,,,
33,,,,,,,,,,3.4000E+01 3.9410E+01 3.5408E-02 6.3000E-02 6.0970E-02 7.3353E-02 5.7233E-02 7.4730E-02 4.5935E-02 6.1550E-02 5.1491E-02 4.2426E-02 1.7733E-02 2.7670E-02 2.1756E-02 4.3817E-02 3.8276E-02 3.9648E-02 3.0125E-02 3.4412E-02 2.3358E-02 4.4419E-02,,,,,,,,
34,,,,,,,,,,3.5000E+01 4.0580E+01 7.9132E-02 6.5486E-02 8.3861E-02 7.4993E-02 4.4649E-02 7.3899E-02 7.3774E-02 7.3305E-02 3.7142E-02 8.7124E-02 3.1738E-02 1.1849E-02 1.2152E-02 2.5870E-02 2.4823E-02 4.3297E-02 4.2498E-02 3.2279E-02 3.0938E-02 4.8427E-02,,,,,,,,
35,,,,,,,,,,3.6000E+01 4.1760E+01 5.3920E-02 3.8445E-02 5.0892E-02 6.4164E-02 6.6534E-02 5.1032E-02 4.0406E-02 7.5891E-02 5.7404E-02 9.4087E-02 6.3193E-02 3.1785E-02 1.8306E-02 2.4181E-02 1.7347E-02 2.8194E-02 3.7546E-02 3.6868E-02 3.9458E-02 4.1076E-02,,,,,,,,
36,,,,,,,,,,3.7000E+01 4.2930E+01 5.0994E-02 4.6748E-02 4.1676E-02 6.2496E-02 5.5932E-02 8.0230E-02 6.3316E-02 5.2587E-02 9.2655E-02 4.1713E-02 6.8851E-02 3.0412E-02 3.1746E-02 1.4285E-02 2.2081E-02 2.3961E-02 1.8092E-02 2.8496E-02 3.3414E-02 3.4906E-02,,,,,,,,
37,,,,,,,,,,3.8000E+01 4.4110E+01 4.1317E-02 5.6383E-02 5.7540E-02 3.0801E-02 3.8391E-02 7.1713E-02 7.1771E-02 6.4267E-02 5.8029E-02 4.6772E-02 6.5068E-02 4.3887E-02 1.5522E-02 3.5123E-02 2.6160E-02 2.7419E-02 2.4136E-02 2.4212E-02 1.7034E-02 2.5105E-02,,,,,,,,
38,,,,,,,,,,3.9000E+01 4.5290E+01 4.1955E-02 4.0412E-02 4.2922E-02 5.9706E-02 5.9748E-02 8.3793E-02 6.7616E-02 5.5804E-02 5.6599E-02 6.7921E-02 9.4691E-02 5.3020E-02 3.6160E-02 2.3052E-02 3.2318E-02 1.5693E-02 3.2875E-02 4.6057E-02 3.8405E-02 4.1650E-02,,,,,,,,
39,,,,,,,,,,4.0000E+01 4.6460E+01 4.4586E-02 5.9654E-02 4.6164E-02 6.4254E-02 3.8754E-02 4.7515E-02 4.1792E-02 3.8737E-02 5.2629E-02 7.1187E-02 7.5590E-02 5.0411E-02 3.0400E-02 1.4837E-02 2.9495E-02 2.0851E-02 3.0113E-02 2.6811E-02 4.0859E-02 4.3228E-02,,,,,,,,
40,,,,,,,,,,4.1000E+01 4.7640E+01 5.1221E-02 5.4342E-02 6.2857E-02 5.7657E-02 6.4296E-02 6.0914E-02 5.5240E-02 4.8123E-02 6.1242E-02 8.9966E-02 7.8092E-02 4.2671E-02 2.6524E-02 2.1646E-02 2.0063E-02 3.3543E-02 2.4305E-02 2.9384E-02 2.0057E-02 2.9833E-02,,,,,,,,
41,,,,,,,,,,4.2000E+01 4.8820E+01 7.5683E-02 7.1061E-02 4.9504E-02 4.2446E-02 6.9664E-02 3.9828E-02 3.7733E-02 5.1444E-02 7.9998E-02 1.0580E-01 5.1947E-02 4.8168E-02 4.4856E-02 1.9536E-02 2.5906E-02 2.7802E-02 2.4044E-02 3.2532E-02 3.1278E-02 3.1205E-02,,,,,,,,
42,,,,,,,,,,4.3000E+01 4.9990E+01 5.1366E-02 5.8621E-02 3.9301E-02 9.5183E-02 8.1221E-02 5.2949E-02 8.7806E-02 8.8136E-02 8.2248E-02 7.7306E-02 5.6969E-02 4.5797E-02 5.2482E-02 2.1799E-02 1.7219E-02 1.9214E-02 2.0978E-02 3.3656E-02 3.4899E-02 4.1964E-02,,,,,,,,
43,,,,,,,,,,4.4000E+01 5.1170E+01 4.7966E-02 5.1895E-02 5.2217E-02 7.5429E-02 5.2139E-02 5.7511E-02 4.6580E-02 8.7336E-02 5.8224E-02 4.6019E-02 6.9093E-02 6.4792E-02 5.9213E-02 4.1575E-02 2.2360E-02 2.5912E-02 3.2345E-02 3.2642E-02 2.5186E-02 2.1304E-02,,,,,,,,
44,,,,,,,,,,4.5000E+01 5.2350E+01 8.0676E-02 7.2303E-02 8.6616E-02 7.9170E-02 6.8626E-02 9.1739E-02 5.9273E-02 4.9639E-02 5.6725E-02 9.1339E-02 6.9040E-02 5.5642E-02 6.2507E-02 8.2223E-02 3.4598E-02 1.6434E-02 3.3751E-02 2.9611E-02 2.5502E-02 3.5315E-02,,,,,,,,
45,,,,,,,,,,4.6000E+01 5.3520E+01 7.3401E-02 6.8077E-02 7.8266E-02 7.0388E-02 9.7924E-02 3.2728E-02 7.2852E-02 8.0252E-02 6.3423E-02 1.1760E-01 7.9480E-02 9.0252E-02 6.4679E-02 5.3898E-02 7.1293E-02 3.4183E-02 1.4081E-02 3.0113E-02 3.1687E-02 2.9227E-02,,,,,,,,
46,,,,,,,,,,4.7000E+01 5.4700E+01 5.9522E-02 7.1339E-02 5.1560E-02 8.5848E-02 5.1713E-02 8.8885E-02 5.5052E-02 7.3320E-02 5.4150E-02 6.8111E-02 4.5017E-02 6.6563E-02 3.9983E-02 6.1469E-02 8.8126E-02 5.3085E-02 2.4322E-02 2.0321E-02 4.4529E-02 2.6920E-02,,,,,,,,
47,,,,,,,,,,4.8000E+01 5.5870E+01 7.4347E-02 4.0816E-02 4.4659E-02 8.7191E-02 9.0007E-02 8.1009E-02 8.1469E-02 4.2616E-02 4.8660E-02 7.3122E-02 7.4015E-02 5.3724E-02 6.1527E-02 7.1145E-02 6.2072E-02 5.6377E-02 3.3467E-02 2.7652E-02 2.7543E-02 2.9711E-02,,,,,,,,
48,,,,,,,,,,4.9000E+01 5.7050E+01 4.8828E-02 8.5699E-02 6.0942E-02 5.6199E-02 6.3792E-02 5.6952E-02 3.2281E-02 7.2608E-02 6.2763E-02 8.9875E-02 3.8782E-02 6.5415E-02 5.2347E-02 6.3015E-02 6.7039E-02 5.8324E-02 2.7531E-02 2.2633E-02 2.2952E-02 3.0767E-02,,,,,,,,
49,,,,,,,,,,5.0000E+01 5.8230E+01 4.1734E-02 6.3108E-02 3.9514E-02 5.8674E-02 8.3519E-02 6.9520E-02 5.7556E-02 5.2973E-02 5.9438E-02 7.7932E-02 6.1017E-02 8.0691E-02 4.7512E-02 6.6516E-02 3.4522E-02 3.2507E-02 4.2957E-02 3.3371E-02 2.9209E-02 2.9813E-02,,,,,,,,
50,,,,,,,,,,5.1000E+01 5.9400E+01 4.7201E-02 5.6079E-02 4.8417E-02 4.9376E-02 5.7078E-02 7.0219E-02 6.0445E-02 5.9095E-02 1.0911E-01 1.0778E-01 8.2094E-02 1.0640E-01 1.0164E-01 9.5399E-02 8.8932E-02 9.1878E-02 6.2346E-02 4.6612E-02 5.0548E-02 5.1655E-02,,,,,,,,
51,,,,,,,,,,5.2000E+01 6.0580E+01 6.4447E-02 5.9078E-02 5.3291E-02 8.4023E-02 8.5842E-02 5.1839E-02 7.8698E-02 7.3614E-02 5.7872E-02 8.9842E-02 1.0291E-01 7.3913E-02 4.8741E-02 7.9427E-02 6.0535E-02 7.9237E-02 5.1005E-02 5.2111E-02 2.7230E-02 2.7769E-02,,,,,,,,
52,,,,,,,,,,5.3000E+01 6.1760E+01 6.9553E-02 6.0446E-02 9.2956E-02 8.1361E-02 8.5865E-02 8.4341E-02 8.2282E-02 9.4770E-02 9.6401E-02 8.0293E-02 7.4200E-02 9.3922E-02 1.0332E-01 1.0200E-01 1.0061E-01 1.1429E-01 4.5082E-02 3.4452E-02 2.2606E-02 3.5862E-02,,,,,,,,
53,,,,,,,,,,5.4000E+01 6.2930E+01 3.8541E-02 6.2784E-02 7.1207E-02 8.5340E-02 8.6026E-02 7.8785E-02 8.5991E-02 9.5028E-02 6.6807E-02 8.4221E-02 7.8314E-02 7.9834E-02 5.7437E-02 8.0786E-02 8.1545E-02 4.2163E-02 6.1048E-02 5.7185E-02 2.5132E-02 3.9421E-02,,,,,,,,
54,,,,,,,,,,5.5000E+01 6.4110E+01 6.1793E-02 4.9004E-02 7.1153E-02 7.3720E-02 6.3426E-02 7.0872E-02 9.0845E-02 6.8262E-02 5.7603E-02 5.2514E-02 8.1292E-02 4.9918E-02 5.9523E-02 6.5844E-02 5.8855E-02 6.5922E-02 1.0327E-01 8.1519E-02 2.9631E-02 4.1824E-02,,,,,,,,
55,,,,,,,,,,5.6000E+01 6.5280E+01 5.2673E-02 8.7373E-02 6.4983E-02 7.5431E-02 9.0292E-02 5.9453E-02 6.4800E-02 7.8925E-02 6.7252E-02 5.5995E-02 7.2024E-02 8.1434E-02 6.3663E-02 4.2684E-02 5.8987E-02 4.4485E-02 7.8075E-02 6.2283E-02 5.5528E-02 3.7469E-02,,,,,,,,
56,,,,,,,,,,5.7000E+01 6.6460E+01 4.8485E-02 4.2565E-02 7.3134E-02 6.3258E-02 3.9562E-02 2.7694E-02 3.9943E-02 5.6362E-02 7.3569E-02 5.5912E-02 8.0851E-02 7.6587E-02 2.2337E-02 4.8753E-02 5.3358E-02 5.9176E-02 8.1869E-02 4.1357E-02 7.3140E-02 2.7091E-02,,,,,,,,
57,,,,,,,,,,5.8000E+01 6.7640E+01 3.8809E-02 7.1317E-02 7.5232E-02 7.8684E-02 7.6647E-02 7.0812E-02 6.5008E-02 7.9796E-02 5.0546E-02 6.4391E-02 6.5303E-02 5.3675E-02 6.3792E-02 6.7324E-02 6.1623E-02 7.0056E-02 5.2113E-02 6.9006E-02 4.2768E-02 3.7506E-02,,,,,,,,
58,,,,,,,,,,5.9000E+01 6.8810E+01 6.7115E-02 6.8619E-02 8.0824E-02 9.3755E-02 7.7045E-02 9.2649E-02 6.6528E-02 5.5247E-02 9.3938E-02 7.9735E-02 6.9471E-02 4.9722E-02 6.2568E-02 8.9626E-02 9.5958E-02 7.3430E-02 9.9960E-02 1.0826E-01 6.8872E-02 5.7933E-02,,,,,,,,
59,,,,,,,,,,6.0000E+01 6.9990E+01 4.1949E-02 5.6469E-02 5.8824E-02 7.4448E-02 6.6709E-02 6.8386E-02 7.2846E-02 8.7482E-02 1.1291E-01 8.5871E-02 6.7395E-02 5.2786E-02 2.2707E-02 5.2993E-02 4.3479E-02 5.8249E-02 9.8837E-02 1.1244E-01 1.0356E-01 9.2749E-02,,,,,,,,
60,,,,,,,,,,6.1000E+01 7.1170E+01 1.0018E-01 8.2186E-02 9.4024E-02 6.4585E-02 7.0612E-02 7.5013E-02 8.1530E-02 6.2883E-02 6.3435E-02 3.7248E-02 5.7013E-02 6.8067E-02 6.9066E-02 4.9048E-02 5.1868E-02 6.7235E-02 5.8597E-02 4.9147E-02 5.6770E-02 5.3538E-02,,,,,,,,
61,,,,,,,,,,6.2000E+01 7.2340E+01 4.9387E-02 5.0237E-02 4.7138E-02 4.8042E-02 5.4585E-02 5.8236E-02 5.9660E-02 5.5916E-02 5.8363E-02 3.9979E-02 5.7819E-02 4.3195E-02 3.4117E-02 4.6625E-02 5.3724E-02 4.6832E-02 4.5846E-02 6.9786E-02 6.7070E-02 5.3564E-02,,,,,,,,
62,,,,,,,,,,6.3000E+01 7.3520E+01 5.8318E-02 7.6489E-02 5.0927E-02 5.5615E-02 4.8863E-02 4.6859E-02 5.2686E-02 6.5676E-02 5.4573E-02 5.1863E-02 5.5571E-02 4.3925E-02 3.8852E-02 5.4748E-02 4.9396E-02 5.6329E-02 2.8599E-02 6.7230E-02 3.9499E-02 6.1837E-02,,,,,,,,
63,,,,,,,,,,6.4000E+01 7.4690E+01 3.3676E-02 6.5012E-02 4.8805E-02 6.8679E-02 6.4291E-02 5.5663E-02 4.7990E-02 3.0154E-02 5.5020E-02 5.3886E-02 6.0443E-02 6.8824E-02 4.2052E-02 4.3614E-02 6.5571E-02 7.9530E-02 7.0814E-02 8.0617E-02 8.2397E-02 6.6778E-02,,,,,,,,
0,,,,,,,,,,1.0000E+00 5.8810E-01 1.7809E+00 6.5673E-01 6.8333E-01 7.2964E-01 8.8683E-01 5.3849E-01 5.0691E-01 3.1654E-01 5.3381E-01 3.6348E-01 2.3367E-01 4.2234E-01 4.7160E-01 3.8708E-01 3.6664E-01 3.1059E-01 3.7261E-01 2.3735E-01 2.5373E-01 5.0544E-01,,,,,,,,
1,,,,,,,,,,2.0000E+00 1.7640E+00 5.3972E-01 9.0598E-01 7.6854E-01 5.8313E-01 3.9120E-01 4.3690E-01 3.6967E-01 3.6110E-01 4.1756E-01 3.0021E-01 2.9466E-01 2.4127E-01 6.1652E-01 5.3168E-01 2.7439E-01 2.5063E-01 4.3378E-01 1.7907E-01 4.4242E-01 3.6750E-01,,,,,,,,
2,,,,,,,,,,3.0000E+00 2.9410E+00 5.9002E-01 5.4626E-01 4.0425E-01 4.0936E-01 5.0489E-01 3.4110E-01 4.2141E-01 3.6253E-01 4.9269E-01 2.8623E-01 3.0675E-01 3.1910E-01 2.3099E-01 4.4204E-01 2.8226E-01 2.8094E-01 2.9645E-01 2.3468E-01 2.3351E-01 2.1758E-01,,,,,,,,
3,,,,,,,,,,4.0000E+00 4.1170E+00 4.1902E-01 3.9868E-01 4.1755E-01 4.9389E-01 3.7823E-01 5.6618E-01 3.5285E-01 4.2116E-01 3.2813E-01 3.1738E-01 3.2750E-01 2.0933E-01 2.1228E-01 1.8532E-01 3.1906E-01 2.8066E-01 2.6502E-01 2.9678E-01 1.8638E-01 2.3801E-01,,,,,,,,
4,,,,,,,,,,5.0000E+00 5.2930E+00 3.0490E-01 3.2239E-01 2.6343E-01 3.1351E-01 3.1209E-01 2.4455E-01 2.6675E-01 3.6821E-01 4.5882E-01 2.9750E-01 2.6348E-01 2.6370E-01 2.4430E-01 3.1658E-01 2.9535E-01 4.5059E-01 3.0616E-01 3.9654E-01 1.6007E-01 2.4950E-01,,,,,,,,
5,,,,,,,,,,6.0000E+00 6.4700E+00 2.8267E-01 2.9241E-01 3.1322E-01 4.1214E-01 1.9238E-01 2.7001E-01 3.2555E-01 2.1663E-01 3.6433E-01 4.1342E-01 3.4421E-01 1.9667E-01 1.7813E-01 1.9561E-01 1.1895E-01 1.9223E-01 3.9143E-01 3.4326E-01 2.5065E-01 3.0155E-01,,,,,,,,
6,,,,,,,,,,7.0000E+00 7.6460E+00 2.9282E-01 4.2202E-01 2.8844E-01 3.2320E-01 2.8862E-01 3.3925E-01 1.9770E-01 2.6382E-01 2.2309E-01 3.6416E-01 1.8546E-01 2.5068E-01 1.8812E-01 2.2473E-01 1.5947E-01 3.1488E-01 2.3008E-01 2.7242E-01 2.5360E-01 2.9136E-01,,,,,,,,
7,,,,,,,,,,8.0000E+00 8.8220E+00 1.0191E-01 2.9458E-01 2.3839E-01 1.3748E-01 1.8152E-01 2.2350E-01 2.0941E-01 2.3853E-01 1.9824E-01 2.8471E-01 1.4946E-01 1.6850E-01 4.0106E-01 2.1122E-01 2.7974E-01 2.6814E-01 2.4671E-01 3.8471E-01 2.0531E-01 2.2558E-01,,,,,,,,
8,,,,,,,,,,9.0000E+00 9.9990E+00 1.0557E-01 2.8477E-01 3.5583E-01 2.1425E-01 2.5472E-01 1.6173E-01 2.9103E-01 2.4051E-01 1.3956E-01 1.7437E-01 2.2751E-01 1.5139E-01 9.3695E-02 2.3258E-01 2.5656E-01 2.8499E-01 2.1516E-01 2.3124E-01 1.9232E-01 2.3082E-01,,,,,,,,
9,,,,,,,,,,1.0000E+01 1.1170E+01 1.1874E-01 2.2620E-01 2.6761E-01 3.0662E-01 1.2131E-01 1.9741E-01 2.5958E-01 2.1886E-01 2.0457E-01 2.3149E-01 1.3571E-01 1.3222E-01 1.5087E-01 1.4166E-01 1.2565E-01 1.5920E-01 1.6456E-01 2.0189E-01 2.2829E-01 1.3910E-01,,,,,,,,
10,,,,,,,,,,1.1000E+01 1.2350E+01 1.1942E-01 1.6424E-01 2.7839E-01 3.4399E-01 1.0411E-01 1.4728E-01 2.7342E-01 2.1584E-01 1.3103E-01 1.0679E-01 2.0756E-01 1.3704E-01 1.8965E-01 1.6492E-01 1.8141E-01 1.8494E-01 2.1449E-01 2.5692E-01 3.1963E-01 2.1855E-01,,,,,,,,
11,,,,,,,,,,1.2000E+01 1.3530E+01 3.4983E-02 8.9304E-02 2.8344E-01 2.3926E-01 3.4150E-01 1.2505E-01 1.8077E-01 1.7005E-01 1.6786E-01 1.8041E-01 1.1916E-01 1.3103E-01 1.5861E-01 1.3119E-01 2.2060E-01 2.2515E-01 2.2037E-01 2.7443E-01 2.5379E-01 1.5477E-01,,,,,,,,
12,,,,,,,,,,1.3000E+01 1.4700E+01 1.2939E-01 9.4555E-02 2.7345E-01 2.0155E-01 2.4316E-01 1.5306E-01 1.8823E-01 2.5562E-01 7.9329E-02 1.9484E-01 2.2499E-01 1.9278E-01 1.2195E-01 2.5093E-01 1.5011E-01 1.5759E-01 2.2287E-01 1.3300E-01 1.3961E-01 1.4284E-01,,,,,,,,
13,,,,,,,,,,1.4000E+01 1.5880E+01 7.6785E-02 1.5355E-01 1.7554E-01 2.0231E-01 2.2083E-01 1.8283E-01 1.2595E-01 1.8945E-01 2.1379E-01 1.3574E-01 1.1747E-01 1.7079E-01 1.6648E-01 1.7846E-01 2.5874E-01 1.0667E-01 1.5501E-01 1.9484E-01 2.2831E-01 1.8415E-01,,,,,,,,
14,,,,,,,,,,1.5000E+01 1.7060E+01 1.2913E-01 6.2004E-02 5.5030E-02 3.1239E-01 2.4557E-01 2.4562E-01 1.1954E-01 1.8852E-01 2.4526E-01 1.4761E-01 1.5953E-01 1.3993E-01 1.5392E-01 1.5950E-01 1.8931E-01 1.3185E-01 2.0873E-01 1.9304E-01 2.5399E-01 1.2108E-01,,,,,,,,
15,,,,,,,,,,1.6000E+01 1.8230E+01 9.4670E-02 7.7470E-02 8.6054E-02 2.9827E-01 2.3290E-01 1.6735E-01 1.8613E-01 1.7453E-01 1.9950E-01 2.1366E-01 1.2658E-01 2.2110E-01 1.3564E-01 1.8937E-01 1.2327E-01 2.6919E-01 2.1790E-01 1.7729E-01 1.6009E-01 1.1782E-01,,,,,,,,
16,,,,,,,,,,1.7000E+01 1.9410E+01 9.2692E-02 7.4558E-02 5.9555E-02 2.4911E-01 1.8516E-01 1.9316E-01 2.2234E-01 1.3778E-01 1.6054E-01 1.6407E-01 1.8809E-01 1.5917E-01 2.1766E-01 1.2170E-01 8.4412E-02 1.3751E-01 2.0949E-01 1.5836E-01 1.4516E-01 1.3254E-01,,,,,,,,
17,,,,,,,,,,1.8000E+01 2.0590E+01 1.1983E-01 1.0635E-01 1.2070E-01 9.3373E-02 2.7251E-01 1.8439E-01 1.6157E-01 2.2703E-01 1.7383E-01 1.5325E-01 1.7189E-01 1.5016E-01 7.8797E-02 1.1711E-01 1.2384E-01 1.4047E-01 1.6497E-01 1.5619E-01 1.8445E-01 1.1414E-01,,,,,,,,
