,Jm1,Jm2,T,Tx,Ty,Tz,h,ju1,ju2,layer,n,p,px,py,pz,up,x*,x1
49,,,,,,,,,,5.0000E+01 5.8230E+01 1.3136E-02 1.9584E-02 1.3334E-02 1.0625E-02 2.0608E-02 1.6997E-02 1.4713E-02 1.0608E-02 1.3448E-02 1.8784E-02 1.2308E-02 1.6536E-02 1.1961E-02 2.3038E-02 1.6910E-02 1.9014E-02 3.3971E-02 2.7043E-02 2.8688E-02 2.7426E-02,,,,,,,,
50,,,,,,,,,,5.1000E+01 5.9400E+01 1.3211E-02 1.4710E-02 1.4564E-02 1.3927E-02 1.5258E-02 2.0098E-02 1.7502E-02 1.2712E-02 2.1545E-02 2.3050E-02 1.5781E-02 2.3507E-02 2.0622E-02 2.1935E-02 1.7647E-02 2.5664E-02 3.6836E-02 4.0265E-02 4.1335E-02 3.8404E-02,,,,,,,,
51,,,,,,,,,,5.2000E+01 6.0580E+01 1.6042E-02 1.2472E-02 1.9895E-02 2.2432E-02 2.2846E-02 1.6586E-02 1.8837E-02 1.6436E-02 1.5822E-02 1.8977E-02 2.2633E-02 1.7749E-02 1.1664E-02 2.3842E-02 1.4355E-02 1.9778E-02 2.2170E-02 4.1897E-02 2.2491E-02 2.3462E-02,,,,,,,,
52,,,,,,,,,,5.3000E+01 6.1760E+01 1.4201E-02 1.5821E-02 1.9414E-02 2.6009E-02 1.7409E-02 1.9547E-02 1.7945E-02 2.2146E-02 1.9883E-02 1.5299E-02 1.7726E-02 1.7822E-02 2.0417E-02 1.9925E-02 2.5069E-02 2.6757E-02 1.9957E-02 2.8772E-02 2.4048E-02 3.2752E-02,,,,,,,,
53,,,,,,,,,,5.4000E+01 6.2930E+01 1.4366E-02 2.2717E-02 1.6387E-02 1.4773E-02 2.0162E-02 1.8022E-02 2.1214E-02 2.9866E-02 1.5879E-02 1.9470E-02 2.2467E-02 2.1860E-02 1.2602E-02 1.9156E-02 2.0366E-02 5.7252E-03 1.6179E-02 3.2518E-02 1.3917E-02 3.5708E-02,,,,,,,,
54,,,,,,,,,,5.5000E+01 6.4110E+01 1.6337E-02 9.8590E-03 2.1600E-02 2.2001E-02 2.0734E-02 1.5221E-02 2.4373E-02 1.7604E-02 2.1092E-02 1.7289E-02 2.3321E-02 1.3996E-02 1.7844E-02 1.9098E-02 1.4379E-02 1.1262E-02 2.6697E-02 2.8320E-02 2.1488E-02 3.3496E-02,,,,,,,,
55,,,,,,,,,,5.6000E+01 6.5280E+01 1.4457E-02 2.3592E-02 1.4377E-02 2.1445E-02 1.8082E-02 1.2306E-02 1.1584E-02 1.8720E-02 2.0862E-02 1.5351E-02 2.0511E-02 2.3939E-02 1.6559E-02 1.4082E-02 1.7172E-02 1.5240E-02 2.2301E-02 1.7614E-02 4.4190E-02 2.8142E-02,,,,,,,,
56,,,,,,,,,,5.7000E+01 6.6460E+01 1.3239E-02 1.3532E-02 1.9047E-02 1.8639E-02 1.3392E-02 7.1724E-03 1.2653E-02 1.5115E-02 2.1701E-02 1.6555E-02 2.5746E-02 2.5201E-02 1.3071E-02 2.0369E-02 1.4797E-02 1.4812E-02 1.7470E-02 1.0267E-02 3.6487E-02 2.9780E-02,,,,,,,,
57,,,,,,,,,,5.8000E+01 6.7640E+01 7.6248E-03 1.7011E-02 2.1151E-02 2.0967E-02 1.8624E-02 1.6733E-02 1.9378E-02 2.3282E-02 9.3112E-03 1.5295E-02 1.8051E-02 8.7795E-03 1.8191E-02 2.0586E-02 1.5119E-02 2.0596E-02 1.9022E-02 2.1924E-02 1.7799E-02 3.0012E-02,,,,,,,,
58,,,,,,,,,,5.9000E+01 6.8810E+01 1.4528E-02 1.4838E-02 2.2860E-02 2.4840E-02 1.8871E-02 2.2009E-02 1.3687E-02 1.4765E-02 2.4029E-02 1.8851E-02 1.0708E-02 1.2151E-02 1.3008E-02 2.6208E-02 2.5994E-02 1.2734E-02 2.1733E-02 2.3797E-02 1.6875E-02 2.7382E-02,,,,,,,,
